,Hour,Min,Sec,BRA,Draw,ARG
0,0,30,27,1.72,3.55,5.2
1,0,30,38,1.72,3.55,5.2
2,0,30,49,1.72,3.55,5.2
3,0,31,0,1.72,3.55,5.2
4,0,31,11,1.72,3.55,5.2
5,0,31,21,1.75,3.55,5.0
6,0,31,32,1.78,3.4,5.0
7,0,31,43,1.78,3.4,5.0
8,0,31,53,1.78,3.4,5.0
9,0,32,4,1.78,3.4,5.0
10,0,32,14,1.78,3.4,5.0
11,0,32,25,1.78,3.4,5.0
12,0,32,36,1.78,3.4,5.0
13,0,32,46,1.78,3.4,5.0
14,0,32,57,1.78,3.4,5.0
15,0,33,7,1.78,3.4,5.0
16,0,33,19,1.78,3.4,5.0
17,0,33,30,1.78,3.4,5.0
18,0,33,41,1.78,3.4,5.0
19,0,33,52,1.78,3.4,5.0
20,0,34,3,1.78,3.35,5.1
21,0,34,14,1.78,3.35,5.1
22,0,34,25,1.78,3.35,5.1
23,0,34,36,1.78,3.35,5.1
24,0,34,47,1.78,3.35,5.1
25,0,34,58,1.78,3.35,5.1
26,0,35,8,1.78,3.35,5.1
27,0,35,19,1.78,3.35,5.1
28,0,35,30,1.78,3.35,5.1
29,0,35,41,1.78,3.3,5.2
30,0,35,52,1.78,3.3,5.2
31,0,36,4,1.78,3.3,5.2
32,0,36,15,1.78,3.3,5.2
33,0,36,26,1.78,3.3,5.2
34,0,36,37,1.78,3.3,5.2
35,0,36,48,1.78,3.3,5.2
36,0,36,59,1.78,3.35,5.1
37,0,37,11,1.8,3.3,5.1
38,0,37,23,1.8,3.3,5.1
39,0,37,34,1.8,3.3,5.1
40,0,37,45,1.8,3.3,5.1
41,0,37,56,1.8,3.3,5.1
42,0,38,7,1.8,3.3,5.1
43,0,38,18,1.8,3.3,5.1
44,0,38,29,1.8,3.3,5.1
45,0,38,40,1.8,3.3,5.1
46,0,38,51,1.8,3.3,5.1
47,0,39,2,1.8,3.3,5.1
48,0,39,13,1.8,3.3,5.1
49,0,39,24,1.8,3.3,5.1
50,0,39,36,1.8,3.3,5.1
51,0,39,47,1.8,3.3,5.1
52,0,39,58,1.8,3.25,5.2
53,0,40,8,1.8,3.3,5.1
54,0,40,19,1.8,3.3,5.1
55,0,40,30,1.8,3.3,5.1
56,0,40,41,1.8,3.3,5.1
57,0,40,52,1.8,3.3,5.1
58,0,41,2,1.8,3.3,5.1
59,0,41,14,1.8,3.3,5.1
60,0,41,25,1.8,3.3,5.1
61,0,41,36,1.8,3.3,5.1
62,0,41,47,1.8,3.3,5.1
63,0,41,58,1.8,3.25,5.2
64,0,42,8,1.8,3.25,5.2
65,0,42,20,1.8,3.25,5.2
66,0,42,30,1.8,3.25,5.2
67,0,42,41,1.8,3.25,5.2
68,0,42,52,1.8,3.25,5.2
69,0,43,3,1.85,3.15,5.1
70,0,43,14,1.85,3.15,5.1
71,0,43,26,1.85,3.15,5.1
72,0,43,37,1.85,3.1,5.2
73,0,43,48,1.85,3.1,5.2
74,0,43,59,1.85,3.1,5.2
75,0,44,10,1.9,3.1,4.9
76,0,44,21,1.9,3.1,4.9
77,0,44,32,1.9,3.1,4.9
78,0,44,43,1.9,3.1,4.9
79,0,44,54,1.9,3.1,4.9
80,0,45,5,1.9,3.1,4.9
81,0,45,16,1.85,3.15,5.1
82,0,45,27,1.85,3.15,5.1
83,0,45,38,1.85,3.15,5.1
84,0,45,49,1.85,3.15,5.1
85,0,46,0,1.85,3.15,5.1
86,0,46,11,1.85,3.15,5.1
87,0,46,23,1.85,3.2,5.0
88,0,46,34,1.85,3.2,5.0
89,0,46,45,1.85,3.2,5.0
90,0,46,56,1.85,3.2,5.0
91,0,47,7,1.9,3.05,5.0
92,0,47,18,1.9,3.05,5.0
93,0,47,29,1.9,3.05,5.0
94,0,47,40,1.9,3.05,5.0
95,0,47,51,1.9,3.05,5.0
96,0,48,2,1.9,3.05,5.0
97,0,48,14,1.9,3.05,5.0
98,0,48,25,1.22,6.0,16.0
99,0,48,36,1.22,6.0,16.0
100,0,48,47,1.22,6.0,16.0
101,0,48,58,1.22,6.0,16.0
102,0,49,8,1.2,6.0,16.5
103,0,49,19,1.2,6.0,16.5
104,0,49,30,1.2,6.0,16.5
105,0,49,40,1.2,6.0,16.5
106,0,49,52,1.2,6.0,16.5
107,0,50,3,1.2,6.0,16.5
108,0,50,14,1.2,6.0,16.5
109,0,50,25,1.2,6.0,16.5
110,0,50,36,1.2,6.0,16.5
111,0,50,47,1.2,6.0,16.5
112,0,50,58,1.2,6.0,16.5
113,0,51,11,1.2,6.0,16.5
114,0,51,22,1.2,6.0,16.5
115,0,51,34,1.2,6.0,16.5
116,0,51,45,1.2,6.0,16.5
117,0,51,56,1.2,6.0,16.5
