,Hour,Min,Sec,PER,Draw,BRA
0,19,46,11,1.31,6.55,9.75
1,19,46,23,1.31,6.55,9.75
2,19,46,36,1.31,6.55,9.75
3,19,46,47,1.31,6.55,9.75
4,19,46,58,1.31,6.55,9.75
5,19,47,10,1.31,6.55,9.75
6,19,47,23,1.31,6.55,9.75
7,19,47,36,1.31,6.55,9.75
8,19,47,48,1.31,6.55,9.75
9,19,48,0,1.31,6.55,9.75
10,19,48,11,1.31,6.55,9.75
11,19,48,23,1.31,6.55,9.75
12,19,48,36,1.31,6.55,9.75
13,19,48,48,1.31,6.55,9.75
14,19,48,59,1.31,6.55,9.75
15,19,49,11,1.31,6.55,9.75
16,19,49,23,1.31,6.55,9.75
17,19,49,36,1.31,6.55,9.75
18,19,49,47,1.31,6.55,9.75
19,19,50,0,1.31,6.55,9.75
20,19,50,11,1.31,6.55,9.75
21,19,50,23,1.31,6.55,9.75
22,19,50,35,1.31,6.55,9.75
23,19,50,47,1.31,6.55,9.75
24,19,50,59,1.31,6.55,9.75
25,19,51,11,1.31,6.55,9.75
26,19,51,24,1.31,6.55,9.75
27,19,51,35,1.31,6.55,9.75
28,19,51,48,1.31,6.55,9.75
29,19,51,59,1.31,6.55,9.75
30,19,52,11,1.31,6.55,9.75
31,19,52,23,1.31,6.55,9.75
32,19,52,35,1.31,6.55,9.75
33,19,52,48,1.31,6.55,9.75
34,19,52,59,1.31,6.55,9.75
35,19,53,11,1.31,6.55,9.75
36,19,53,23,1.32,6.2,9.8
37,19,53,36,1.32,6.2,9.8
38,19,53,48,1.32,6.2,9.8
39,19,54,0,1.32,6.2,9.8
40,19,54,12,1.32,6.2,9.8
41,19,54,24,1.31,6.55,9.75
42,19,54,36,1.31,6.55,9.75
43,19,54,48,1.31,6.55,9.75
44,19,55,0,1.31,6.55,9.75
45,19,55,12,1.31,6.55,9.75
46,19,55,24,1.31,6.35,9.75
47,19,55,37,1.31,6.35,9.75
48,19,55,51,1.31,6.35,9.75
49,19,56,3,1.31,6.35,9.75
50,19,56,15,1.31,6.35,9.75
51,19,56,28,1.31,6.35,9.75
52,19,56,40,1.31,6.35,9.75
53,19,56,51,1.31,6.35,9.95
54,19,57,4,1.31,6.35,9.95
55,19,57,15,1.31,6.35,9.95
56,19,57,27,1.31,6.55,9.75
57,19,57,39,1.31,6.55,9.75
58,19,57,50,1.32,6.2,9.8
59,19,58,1,1.32,6.2,9.8
60,19,58,12,1.32,6.2,9.8
61,19,58,25,1.32,6.2,9.8
62,19,58,37,1.33,5.9,9.8
63,19,58,48,1.33,5.9,9.8
64,19,59,1,1.33,5.9,9.8
65,19,59,13,1.33,5.9,9.8
66,19,59,24,1.33,5.9,9.8
67,19,59,35,1.33,5.9,9.8
68,19,59,47,1.33,5.9,9.8
69,19,59,59,1.35,5.55,9.9
70,20,0,10,,,
71,20,0,21,,,
72,20,0,33,,,
73,20,0,44,,,
74,20,0,55,1.25,5.6,13.0
75,20,1,6,1.25,5.6,13.0
76,20,1,17,1.25,5.6,13.0
77,20,1,28,1.25,5.6,13.0
78,20,1,39,1.25,5.6,13.0
79,20,1,50,1.25,5.6,13.0
80,20,2,1,1.25,5.6,13.0
81,20,2,13,1.25,5.6,13.0
82,20,2,24,1.25,5.6,13.0
83,20,2,35,1.26,5.4,13.0
84,20,2,46,1.26,5.4,13.0
85,20,2,58,1.26,5.4,13.0
86,20,3,9,1.26,5.4,13.0
87,20,3,20,1.26,5.4,13.0
88,20,3,32,1.26,5.4,13.0
89,20,3,44,1.25,5.4,14.0
90,20,3,55,1.25,5.4,14.0
91,20,4,6,1.25,5.4,14.0
92,20,4,18,1.25,5.4,14.0
93,20,4,29,1.25,5.4,14.0
94,20,4,41,1.25,5.4,14.0
95,20,4,53,1.25,5.4,14.0
96,20,5,5,1.25,5.4,14.0
97,20,5,16,1.25,5.4,14.0
98,20,5,27,1.25,5.4,14.0
99,20,5,38,1.26,5.3,14.0
100,20,5,50,1.26,5.3,14.0
101,20,6,2,1.26,5.3,14.0
102,20,6,13,1.26,5.3,14.0
103,20,6,24,1.26,5.3,13.5
104,20,6,36,1.26,5.3,13.5
105,20,6,47,1.28,5.2,12.5
106,20,6,58,1.3,4.8,13.0
107,20,7,10,1.3,4.8,13.0
108,20,7,21,1.3,4.8,13.0
109,20,7,32,1.3,4.8,13.0
110,20,7,42,1.3,4.8,13.0
111,20,7,54,1.3,4.8,13.0
112,20,8,4,1.3,4.8,13.0
113,20,8,15,1.32,4.7,12.0
114,20,8,26,1.32,4.7,12.0
115,20,8,37,1.32,4.7,12.0
116,20,8,49,1.32,4.7,12.0
117,20,9,0,1.32,4.7,12.0
118,20,9,11,1.34,4.4,12.0
119,20,9,22,1.34,4.4,12.0
120,20,9,33,1.34,4.4,12.0
121,20,9,45,1.34,4.4,12.0
122,20,9,56,1.34,4.4,12.0
123,20,10,7,1.34,4.4,12.0
124,20,10,18,1.34,4.4,12.0
125,20,10,30,1.34,4.4,12.0
126,20,10,41,1.34,4.4,12.0
127,20,10,52,1.34,4.4,12.0
128,20,11,3,1.34,4.4,12.0
129,20,11,15,1.38,4.3,10.5
130,20,11,25,1.38,4.3,10.5
131,20,11,36,1.38,4.3,10.5
132,20,11,47,1.38,4.3,10.5
133,20,11,58,1.38,4.3,10.5
134,20,12,9,1.38,4.3,10.5
135,20,12,20,1.36,4.5,10.5
136,20,12,32,1.36,4.5,10.5
137,20,12,43,1.36,4.5,10.5
138,20,12,54,1.36,4.5,10.5
139,20,13,5,1.36,4.5,10.5
140,20,13,16,1.36,4.5,10.5
141,20,13,27,1.36,4.5,10.5
142,20,13,38,1.36,4.5,10.5
143,20,13,49,1.36,4.5,10.5
144,20,13,59,1.36,4.6,10.0
145,20,14,11,1.36,4.6,10.0
146,20,14,22,1.36,4.6,10.0
147,20,14,33,1.36,4.6,10.0
148,20,14,44,1.36,4.6,10.0
149,20,14,56,1.36,4.6,10.0
150,20,15,6,1.36,4.6,10.0
151,20,15,18,1.36,4.5,10.5
152,20,15,29,1.36,4.5,10.5
153,20,15,40,1.36,4.5,10.5
154,20,15,51,1.08,10.5,30.0
155,20,16,2,1.08,10.5,30.0
156,20,16,13,1.08,10.0,32.0
157,20,16,24,1.08,10.0,32.0
158,20,16,35,1.08,10.0,32.0
159,20,16,45,1.08,10.0,32.0
160,20,16,56,1.08,10.0,34.0
161,20,17,8,1.08,10.0,34.0
162,20,17,19,1.08,10.0,34.0
163,20,17,30,1.08,10.0,34.0
164,20,17,41,1.08,10.0,34.0
165,20,17,53,1.08,10.0,34.0
166,20,18,5,1.08,10.0,34.0
167,20,18,16,1.08,10.0,34.0
168,20,18,27,1.06,11.5,40.0
169,20,18,39,1.06,11.5,40.0
170,20,18,50,1.06,11.5,40.0
171,20,19,2,1.07,10.5,35.0
172,20,19,13,1.07,10.5,35.0
173,20,19,25,1.07,10.5,35.0
174,20,19,36,1.07,10.5,35.0
175,20,19,47,1.07,10.5,35.0
176,20,19,58,1.07,10.5,35.0
177,20,20,10,1.07,10.5,35.0
178,20,20,22,1.07,10.5,35.0
179,20,20,33,1.07,10.5,35.0
180,20,20,43,1.07,10.5,34.0
181,20,20,54,1.07,10.0,34.0
182,20,21,5,1.06,10.0,34.0
183,20,21,15,1.06,10.0,34.0
184,20,21,26,1.06,10.0,34.0
185,20,21,36,1.06,10.0,34.0
186,20,21,48,1.06,10.0,34.0
187,20,21,59,1.06,10.0,34.0
188,20,22,10,1.06,10.0,34.0
189,20,22,21,1.06,10.0,34.0
190,20,22,33,1.06,10.0,34.0
191,20,22,44,1.07,10.0,34.0
192,20,22,55,1.07,10.0,34.0
193,20,23,6,1.07,10.0,34.0
194,20,23,17,1.07,9.5,34.0
195,20,23,28,1.07,9.5,34.0
196,20,23,39,1.06,10.0,35.0
197,20,23,51,1.06,10.0,35.0
198,20,24,2,1.06,10.0,35.0
199,20,24,14,1.06,10.0,35.0
200,20,24,25,1.06,10.0,35.0
201,20,24,36,1.06,10.0,35.0
202,20,24,47,1.06,10.0,35.0
203,20,24,58,1.06,10.0,35.0
204,20,25,10,1.06,10.0,35.0
205,20,25,21,1.06,10.0,35.0
206,20,25,33,1.06,10.0,35.0
207,20,25,44,1.06,10.0,35.0
208,20,25,55,1.06,10.0,35.0
209,20,26,6,1.06,10.0,35.0
210,20,26,17,1.06,10.0,35.0
211,20,26,28,1.06,10.0,35.0
212,20,26,40,1.06,10.0,35.0
213,20,26,52,1.06,10.0,35.0
214,20,27,3,1.06,10.0,35.0
215,20,27,14,1.06,10.0,35.0
216,20,27,26,1.06,9.5,35.0
217,20,27,36,1.06,10.0,36.0
218,20,27,48,1.06,10.0,36.0
219,20,28,0,1.06,10.0,36.0
220,20,28,11,1.06,10.0,36.0
221,20,28,22,1.06,10.0,36.0
222,20,28,33,1.06,10.0,36.0
223,20,28,44,1.06,10.0,36.0
224,20,28,55,1.06,10.0,36.0
225,20,29,6,1.06,10.0,36.0
226,20,29,17,1.06,10.0,36.0
227,20,29,28,1.06,10.0,36.0
228,20,29,38,1.06,10.0,36.0
229,20,29,49,1.06,10.0,36.0
230,20,30,0,1.06,10.0,36.0
231,20,30,11,1.06,10.0,36.0
232,20,30,23,1.06,10.0,36.0
233,20,30,34,1.06,10.0,36.0
234,20,30,46,1.06,10.0,38.0
235,20,30,56,1.06,10.0,38.0
