,Hour,Min,Sec,BRA,Draw,ARG
0,0,29,35,1.78,3.6,5.15
1,0,29,46,1.78,3.6,5.15
2,0,29,58,1.78,3.6,5.15
3,0,30,9,1.85,3.35,4.6
4,0,30,19,1.85,3.35,4.6
5,0,30,30,1.85,3.35,4.6
6,0,30,41,1.85,3.35,4.6
7,0,30,52,1.85,3.35,4.6
8,0,31,2,1.85,3.35,4.6
9,0,31,13,1.85,3.35,4.6
10,0,31,24,1.85,3.35,4.6
11,0,31,35,1.85,3.35,4.6
12,0,31,45,1.85,3.35,4.6
13,0,31,56,1.85,3.35,4.6
14,0,32,7,1.85,3.35,4.6
15,0,32,17,1.85,3.35,4.6
16,0,32,28,1.8,3.4,4.9
17,0,32,39,1.8,3.4,4.9
18,0,32,49,1.8,3.4,4.9
19,0,33,0,1.8,3.4,4.9
20,0,33,11,1.8,3.4,4.9
21,0,33,22,1.8,3.4,4.9
22,0,33,33,1.85,3.35,4.6
23,0,33,43,1.85,3.35,4.6
24,0,33,54,1.85,3.3,4.7
25,0,34,5,1.85,3.3,4.7
26,0,34,16,1.85,3.3,4.7
27,0,34,26,1.85,3.35,4.6
28,0,34,37,1.85,3.35,4.6
29,0,34,48,1.85,3.3,4.7
30,0,34,58,1.85,3.3,4.7
31,0,35,9,1.85,3.3,4.7
32,0,35,19,1.85,3.3,4.7
33,0,35,30,1.85,3.3,4.7
34,0,35,41,1.9,3.25,4.5
35,0,35,51,1.9,3.25,4.5
36,0,36,2,1.9,3.25,4.5
37,0,36,13,1.9,3.25,4.5
38,0,36,24,1.9,3.25,4.5
39,0,36,34,1.9,3.25,4.5
40,0,36,45,1.9,3.25,4.5
41,0,36,56,1.9,3.25,4.5
42,0,37,7,1.9,3.25,4.5
43,0,37,17,1.9,3.25,4.5
44,0,37,28,1.9,3.25,4.5
45,0,37,39,1.95,3.2,4.4
46,0,37,49,1.95,3.2,4.4
47,0,38,0,1.95,3.25,4.3
48,0,38,10,1.95,3.2,4.4
49,0,38,21,1.95,3.2,4.4
50,0,38,32,1.95,3.2,4.4
51,0,38,43,1.95,3.2,4.4
52,0,38,53,1.95,3.2,4.4
53,0,39,4,1.95,3.2,4.4
54,0,39,15,1.95,3.2,4.4
55,0,39,26,1.95,3.2,4.4
56,0,39,37,1.9,3.25,4.5
57,0,39,47,1.9,3.25,4.5
58,0,39,58,1.9,3.25,4.5
59,0,40,8,1.9,3.25,4.5
60,0,40,19,1.9,3.25,4.5
61,0,40,29,1.9,3.25,4.5
62,0,40,40,1.9,3.25,4.5
63,0,40,51,1.9,3.25,4.5
64,0,41,1,1.9,3.25,4.5
65,0,41,12,1.9,3.25,4.5
66,0,41,22,1.95,3.15,4.5
67,0,41,33,1.95,3.15,4.5
68,0,41,44,1.95,3.15,4.5
69,0,41,54,1.95,3.15,4.5
70,0,42,5,1.95,3.15,4.5
71,0,42,16,1.95,3.15,4.5
72,0,42,26,1.95,3.15,4.5
73,0,42,37,1.95,3.15,4.5
74,0,42,47,1.95,3.15,4.5
75,0,42,58,1.95,3.15,4.5
76,0,43,8,1.95,3.15,4.5
77,0,43,19,1.95,3.15,4.5
78,0,43,30,1.95,3.15,4.5
79,0,43,40,1.95,3.15,4.5
80,0,43,51,1.95,3.15,4.5
81,0,44,2,1.95,3.15,4.5
82,0,44,12,1.95,3.15,4.5
83,0,44,23,1.95,3.15,4.5
84,0,44,34,1.95,3.15,4.5
85,0,44,44,1.95,3.15,4.5
86,0,44,55,1.95,3.15,4.5
87,0,45,7,1.95,3.15,4.5
88,0,45,18,1.95,3.15,4.5
89,0,45,28,1.95,3.15,4.5
90,0,45,39,1.95,3.15,4.5
91,0,45,50,1.95,3.15,4.5
92,0,46,1,1.95,3.15,4.5
93,0,46,12,1.95,3.15,4.5
94,0,46,23,1.95,3.15,4.5
95,0,46,33,1.95,3.15,4.5
96,0,46,44,1.95,3.15,4.5
97,0,46,55,1.95,3.15,4.5
98,0,47,5,1.95,3.15,4.5
99,0,47,16,1.95,3.15,4.5
100,0,47,27,1.95,3.15,4.5
101,0,47,37,1.95,3.1,4.6
102,0,47,48,2.0,3.0,4.5
103,0,47,58,2.0,3.0,4.5
104,0,48,9,2.0,3.0,4.5
105,0,48,19,2.0,3.0,4.5
106,0,48,30,2.0,3.0,4.5
107,0,48,41,2.0,3.0,4.5
108,0,48,51,2.0,3.0,4.5
109,0,49,2,2.0,3.0,4.5
110,0,49,12,2.0,3.0,4.5
111,0,49,23,2.0,2.95,4.6
112,0,49,33,2.0,2.95,4.6
113,0,49,44,2.0,2.95,4.6
114,0,49,55,2.0,2.95,4.6
115,0,50,6,2.0,2.95,4.6
116,0,50,17,2.0,2.95,4.6
117,0,50,27,2.0,2.95,4.6
118,0,50,38,2.0,2.95,4.6
119,0,50,48,4.0,3.4,1.95
120,0,50,59,4.0,3.4,1.95
121,0,51,10,4.0,3.4,1.95
122,0,51,20,4.0,3.4,1.95
123,0,51,31,4.0,3.4,1.95
124,0,51,42,4.0,3.4,1.95
125,0,51,53,4.0,3.4,1.95
126,0,52,3,4.0,3.4,1.95
127,0,52,13,4.0,3.4,1.95
128,0,52,24,4.1,3.35,1.95
129,0,52,35,4.1,3.35,1.95
130,0,52,45,4.1,3.35,1.95
131,0,52,56,4.1,3.35,1.95
132,0,53,7,4.1,3.35,1.95
133,0,53,17,3.9,3.3,2.0
134,0,53,28,3.9,3.35,2.0
135,0,53,40,3.9,3.35,2.0
136,0,53,51,3.95,3.3,2.0
137,0,54,1,3.95,3.3,2.0
138,0,54,12,3.95,3.3,2.0
139,0,54,23,3.95,3.3,2.0
140,0,54,33,3.95,3.3,2.0
141,0,54,44,3.95,3.3,2.0
142,0,54,55,3.95,3.3,2.0
143,0,55,6,3.95,3.3,2.0
144,0,55,16,4.0,3.3,2.0
145,0,55,27,4.0,3.3,2.0
146,0,55,38,4.0,3.3,2.0
147,0,55,49,4.0,3.3,2.0
148,0,55,59,4.0,3.3,2.0
149,0,56,10,4.0,3.3,2.0
150,0,56,21,4.0,3.3,2.0
151,0,56,31,4.0,3.3,2.0
152,0,56,41,4.1,3.3,1.95
